share_bonus,avg_delay_cost,max_delay_cost,future_wait_cost,total_wait_cost,route_cost,activation_cost,workload_cost,imbalance_cost,new_wait_viol_cost,new_ride_viol_cost,exist_wait_viol_cost,exist_ride_viol_cost
7.0,2.174011695092295,28.080984394942142,41.87961613937532,3.9885348704166974,0.0,0.0,4.093260129270455,4.340901636351475,0.0,109.36342651190357,490.49451836496905,1878.3869713347622
0.0,3.050614813392299,78.80754934596773,66.62380104055687,6.345123908624465,15.253074066961494,0.0,2.236197952196718,1.6879556691032804,0.0,0.0,12.837543831062945,2361.5829610078645
7.0,1.2056640079866248,31.14632020632114,66.62380104055687,6.345123908624465,6.028320039933123,0.0,4.1624773895274,4.43978343671854,0.0,18.936566803038815,12.837543831062945,1878.3869713347622
7.0,0.0,0.0,82.74237829674699,7.880226504452094,0.0,0.0,3.459678748339177,3.4357853778782217,0.0,0.0,12.837543831062945,1878.3869713347622
0.0,8.795869958855464,75.74221353458873,34.70888406412674,3.305608006107309,14.659783264759106,0.0,1.0546289838244218,0.0,0.0,0.0,0.0,780.26449143902
7.0,3.261017542638442,28.080984394942142,34.70888406412674,3.305608006107309,5.4350292377307365,0.0,2.6315478041260225,0.5647855027561491,0.0,0.3327979975629426,0.0,89.94069444976154
7.0,0.0,0.0,59.4530689653083,5.662197044315076,0.0,0.0,2.6833684372912208,0.6388149787064322,0.0,0.0,0.0,0.0
0.0,14.636738920139445,126.03858514564523,43.248961834503135,4.118948746143156,24.394564866899078,0.0,0.44281226827199704,0.6325889546742816,0.0,0.0,0.0,4364.502767647767
0.0,14.634147127482883,126.0162669311026,43.248961834503135,4.118948746143156,24.390245212471473,0.0,4.31418048019311,6.1631149717044424,0.0,197.15430472018045,0.0,4363.3613410586
7.0,0.0,0.0,49.538378681155386,4.717940826776704,0.0,0.0,2.2188007591814407,3.1697153702592007,0.0,0.0,0.0,298.43439279458715
0.0,10.472717929066288,90.18173772251527,29.78079639067462,2.8362663229213925,17.454529881777148,0.0,0.0,0.0,0.0,0.0,0.0,522.3154052242315
0.0,10.470126136409727,90.15941950797264,29.78079639067462,2.8362663229213925,17.450210227349544,0.0,2.840687501965603,3.425536048133722,0.0,33.19507764916231,0.0,521.9205905188074
7.0,0.0,0.0,29.78079639067462,2.8362663229213925,0.0,0.0,1.5602146828320818,1.5962891636572636,0.0,0.0,0.0,0.0
0.0,17.707516274122543,152.48139013827748,46.70136425239671,4.447748976418734,29.512527123537573,0.0,0.0,0.0,0.0,0.0,0.0,7518.492398545543
0.0,13.07276136423707,112.57100063648589,46.70136425239671,4.447748976418734,21.787935607061787,0.0,3.2969413597682165,2.476771660357042,0.0,0.0,0.0,5077.995798802296
7.0,0.0,0.0,46.70136425239671,4.447748976418734,0.0,0.0,2.7474304507805836,1.6917560760889956,0.0,0.0,0.0,766.4141718258469
0.0,19.15373238447106,164.93491775516745,42.270423387972315,4.025754608378316,31.922887307451763,0.0,1.5632011975182867,2.2331445678832664,0.0,0.0,1418.103514003838,4870.774689468663
0.0,14.985103412149392,144.94759995159023,42.270423387972315,4.025754608378316,18.81676869238945,0.0,1.5632011975182867,2.2331445678832664,0.0,0.0,597.5202513112558,1899.1029500798302
0.0,14.92809156831179,191.20242236003034,42.270423387972315,4.025754608378316,37.00692045678006,0.0,1.5632011975182867,2.2331445678832664,0.0,43.05975493899129,0.0,2910.1558548912544
0.0,11.29006121543367,97.2199715773455,42.270423387972315,4.025754608378316,18.81676869238945,0.0,4.642067270879522,6.631524672685032,0.0,47.36331304460879,0.0,1899.1029500798302
0.0,10.526179037297096,135.96314589842083,42.270423387972315,4.025754608378316,0.0,0.0,1.5632011975182867,2.2331445678832664,0.0,0.0,342.42252711101077,35.344938929610294
0.0,10.469167193459525,182.21796830686128,42.270423387972315,4.025754608378316,18.19015176439061,0.0,1.5632011975182867,2.2331445678832664,0.0,24.23117855057436,0.0,827.7079513460363
0.0,6.831136840581402,88.23551752417646,42.270423387972315,4.025754608378316,0.0,0.0,4.439192501936996,6.341703574195709,0.0,27.4851190437787,0.0,35.344938929610294
0.0,5.782441287614652,149.3797332633785,74.02063056659689,7.049583863485418,28.912206438073255,0.0,1.5632011975182867,2.2331445678832664,0.0,0.0,0.0,2515.579761363038
0.0,3.163157392437256,81.71489930462911,74.02063056659689,7.049583863485418,15.81578696218628,0.0,4.2919527356891525,6.131361050984504,0.0,0.0,0.0,578.3168333861938
7.0,0.0,0.0,77.70711092044569,7.400677230518636,0.0,0.0,3.7809553397155495,5.401364771022213,0.0,0.0,0.0,35.344938929610294
0.0,0.0,0.0,39.84342465753436,3.7946118721461293,0.0,2.8,2.113560519541999,0.00452470855982483,0.0,0.0,0.0,0.0
0.0,6.780377263801872,116.77316398769891,84.58284500351391,8.055509047953706,22.60125754600624,0.0,2.1103932235501217,3.014847462214459,0.0,0.0,10480.84200160902,595.58753195724
0.0,4.595631436347458,79.14698584820621,84.58284500351391,8.055509047953706,15.318771454491525,0.0,5.12321905371485,7.3188843624497855,0.0,35.07851170689651,10480.84200160902,96.81949755813518
7.0,0.0,0.0,117.32704288762037,11.174004084535273,0.0,0.0,4.696347793878199,6.709068276968856,0.0,0.0,10480.84200160902,0.0
0.0,7.387129887561304,127.22279250800025,71.7556772153916,6.833874020513486,24.623766291871014,0.0,1.8518561610647148,0.3439363302163656,0.0,0.0,0.0,1280.404322125311
0.0,3.323334888002282,57.23521196003931,71.7556772153916,6.833874020513486,11.077782960007607,0.0,3.802610354133862,3.1307280346008612,0.0,0.0,0.0,75.52950237517702
7.0,0.0,0.0,77.70114157824257,7.400108721737388,0.0,0.0,3.802610354133862,3.1307280346008612,0.0,0.0,0.0,0.0
0.0,4.3634819236770275,75.14885535221548,36.75021561266092,3.5000205345391353,14.54493974559009,0.0,1.6111007299132587,0.0,0.0,0.0,14042.024469006217,68.75770337525971
7.0,0.5574621170715705,9.600736460677046,36.75021561266092,3.5000205345391353,1.8582070569052347,0.0,3.2787281996011624,2.0383886264806392,0.0,0.0,14042.024469006217,0.0
7.0,0.0,0.0,81.94693729113013,7.804470218202869,0.0,0.0,3.94413687789678,2.988972452617236,0.0,0.0,14042.024469006217,0.0
0.0,10.817194840349952,93.14806668079126,25.625469246223386,2.4405208805927034,18.02865806724992,0.0,2.732703545944727,2.6091710368445207,0.0,0.0,0.0,512.9234005185006
0.0,11.544703100829864,125.0272991248065,25.625469246223386,2.4405208805927034,9.325851326804877,0.0,2.732703545944727,2.6091710368445207,0.0,8.740253134800438,50.70196705892987,27.480648121708537
0.0,8.114073841709455,113.2464438671772,25.625469246223386,2.4405208805927034,21.91866655493752,0.0,2.732703545944727,2.6091710368445207,0.0,67.65853231024937,0.0,48.62647175242552
0.0,5.595510796082926,48.18356518849187,25.625469246223386,2.4405208805927034,9.325851326804877,0.0,4.543586704698311,5.196146977921069,0.0,223.438366451169,0.0,27.480648121708537
0.0,5.950949236305669,76.8664276356149,31.57093360907436,3.0067555818166056,0.0,0.0,2.732703545944727,2.6091710368445207,0.0,0.0,0.0,0.0
0.0,2.5203199771852587,65.0855723779856,31.57093360907436,3.0067555818166056,12.592815228132645,0.0,2.732703545944727,2.6091710368445207,0.0,0.0,0.0,18.428994974029305
7.0,0.0017569315587297749,0.022693699300259596,31.57093360907436,3.0067555818166056,0.0,0.0,3.4560831549423714,3.642570478269727,0.0,20.774867176274682,0.0,0.0
0.0,3.605731613449998,93.14806668079162,70.14150446460376,6.680143282343216,18.02865806724999,0.0,2.732703545944727,2.6091710368445207,0.0,0.0,0.0,229.9646749148646
7.0,0.00087846577937853,0.022693699300612026,70.14150446460376,6.680143282343216,0.00439232889689265,0.0,3.4560831549423794,3.642570478269738,0.0,0.0,0.0,0.0
7.0,0.0,0.0,114.01483760053675,10.858555961955881,0.0,0.0,4.720345447378446,5.44865946746412,0.0,0.0,0.0,0.0
0.0,10.004724953825574,86.15179821349801,33.47100361237795,3.1877146297502805,16.674541589709293,0.0,0.9062838201535625,0.0,0.0,0.0,0.0,197.70467652662018
0.0,5.5955107960829675,48.18356518849222,33.47100361237795,3.1877146297502805,9.325851326804946,0.0,3.3672259712667496,0.9064606076028895,0.0,11.075860480701301,0.0,0.0
7.0,0.0,0.0,65.57628216595072,6.2453602062810205,0.0,0.0,3.1057269328922454,0.5328905527821689,0.0,0.0,0.0,0.0
0.0,13.473477415450756,116.02161107749264,25.881964967590296,2.464949044532409,22.455795692417926,0.0,2.6664531269678595,3.809218752811228,0.0,0.0,80.01207361479773,1555.307933859914
0.0,15.868518153631852,154.10906937041307,25.881964967590296,2.464949044532409,12.927404025752093,0.0,2.6664531269678595,3.809218752811228,0.0,0.7599897211038491,1261.4355511878673,425.2708990203912
0.0,13.840499219086679,154.10906937041273,25.881964967590296,2.464949044532409,29.827561813628265,0.0,2.6664531269678595,3.809218752811228,0.0,0.7672271235482667,1164.4693283587371,2467.4862241304
0.0,10.006294461585194,115.22590234843587,25.881964967590296,2.464949044532409,31.67617107686824,0.0,2.6664531269678595,3.809218752811228,0.0,35.25016643369394,0.0,1218.115216876303
0.0,8.988191312858586,119.82522054920139,25.881964967590296,2.464949044532409,23.191978170813172,0.0,2.6664531269678595,3.809218752811228,0.0,164.5752687954774,0.0,1342.2700614753717
0.0,7.756442415451256,66.79158746638582,25.881964967590296,2.464949044532409,12.927404025752093,0.0,5.289438829823804,7.5563411854625775,0.0,402.73149189982763,0.0,425.2708990203912
0.0,9.87554922606538,106.29931458612042,25.881964967590296,2.464949044532409,0.0,0.0,2.6664531269678595,3.809218752811228,0.0,0.0,6.338303988274034,91.9065676822866
0.0,11.458078638090806,145.1628558165675,25.881964967590296,2.464949044532409,16.90015778787617,0.0,2.6664531269678595,3.809218752811228,0.0,0.0,795.8061959569106,1882.4410441908403
0.0,7.62387388058932,106.27968879459063,25.881964967590296,2.464949044532409,18.748767051116147,0.0,2.6664531269678595,3.809218752811228,0.0,18.5303339708824,0.0,802.9038678159104
0.0,6.605770731862712,110.87900699535616,25.881964967590296,2.464949044532409,10.264574145061077,0.0,2.6664531269678595,3.809218752811228,0.0,125.35470786482247,0.0,906.9698181891877
0.0,5.374021834455383,57.84537391254059,25.881964967590296,2.464949044532409,0.0,0.0,5.087427556027299,7.26775365146757,0.0,339.8740572858714,0.0,91.9065676822866
0.0,7.406661919549012,106.29931458612008,25.89733811872918,2.466413154164684,20.57406088763614,0.0,2.6664531269678595,3.809218752811228,0.0,0.0,6.338303988272861,2574.031406091871
0.0,4.960374302608839,87.33532874812504,25.89733811872918,2.466413154164684,26.277995541324206,0.0,2.6664531269678595,3.809218752811228,0.0,0.7116529110535873,0.0,1883.0405677363233
0.0,3.942271153882231,91.93464694889056,25.89733811872918,2.466413154164684,17.793802635269138,0.0,2.6664531269678595,3.809218752811228,0.0,59.83176358795526,0.0,2040.7261067022243
7.0,2.710522256474902,38.90101386607498,25.89733811872918,2.466413154164684,7.529228490208061,0.0,4.659651684010334,6.656645262871905,0.0,224.23808464960877,0.0,607.3882634525478
0.0,2.2508887631965626,48.45663309659267,31.842802481580158,3.0326478553885865,18.757406359971355,0.0,2.6664531269678595,3.809218752811228,0.0,0.0,0.0,803.3935417341557
0.0,1.6122876316044803,61.22578638844868,31.842802481580158,3.0326478553885865,13.435730263370669,0.0,2.6664531269678595,3.809218752811228,0.0,0.2807076442998638,0.0,1108.030741579129
